"","linII.time","ips","ips.interval","ips.adp","log.ips","log.ips.interval","log.ips.adp","mds","mds.interval","mds.apd","log.mds","log.mds.interval","log.mds.apd","ptt","ptt.interval","ptt.adp","log.ptt","log.ptt.interval","log.ptt.adp"
"11250",6250,2.31076923076923,0.20304087325713,1,1.15984453959938,0.0646424835348626,1,1.18965517241379,0.140192620478837,0,0.756064180093971,0.0573478548260655,0,2.33333333333333,0.179484470226287,0,1.18167025391945,0.0583221147457244,0
"11500",6500,2.10277777777778,0.220943790153137,1,1.0779138947808,0.0751839825868445,0,1.01694915254237,0.138077820636065,0,0.661011731890351,0.069576755203185,0,2.13207547169811,0.140070907913242,0,1.12872336185784,0.0413904765801636,0
"11750",6750,1.81904761904762,0.258291237063187,1,0.991920505606757,0.0817707545438705,0,1.05714285714286,0.211722348705035,0,0.671853946797118,0.0996180377757659,0,2.25,0.196788735581112,0,1.16483525813124,0.0553200480743933,0
"12000",7000,1.40833333333333,0.198403408563338,1,0.840842696355546,0.0708266242400968,0,1.16,0.196878033309966,0,0.713034786287747,0.099920537758004,0,2.54347826086957,0.233636601909317,1,1.23654669189555,0.069282063014984,0
"12250",7250,1.88,0.196176497109154,1,1.012716555676,0.0642892460586594,0,1.15277777777778,0.176212975876714,0,0.695883306998169,0.0896442206657323,0,2.48529411764706,0.166772482720066,1,1.22862968873971,0.0467639299490363,0
"12500",7500,1.32876712328767,0.145160220395562,1,0.813664793335977,0.0520868791913847,0,1.33846153846154,0.173384615384615,0,0.795776285173859,0.0798254634306102,0,2.40322580645161,0.171391630010787,0,1.20389138713999,0.05073525178642,0
"12750",7750,1.38125,0.139571553836557,1,0.831565991158325,0.0469697731616561,0,1.23255813953488,0.110772003692661,0,0.778011970629096,0.0447920587476014,0,2.36842105263158,0.141442979124064,0,1.19880468850108,0.0368395880921245,0
"13000",8000,1.53170731707317,0.235760941243082,1,0.889068674551672,0.0693765299636723,0,1.34090909090909,0.220226980911232,0,0.793329003015645,0.109990373766818,0,2.32432432432432,0.168479847885003,0,1.18873125714824,0.0477415607453274,0
"13250",8250,1.52777777777778,0.229612857213029,1,0.893161255420285,0.0782485755460185,0,1.41379310344828,0.266699561982157,0,0.838821322555705,0.0967715396970562,0,2.59259259259259,0.300658206574413,1,1.25319493772378,0.0862350840176278,0
"13500",8500,1.42222222222222,0.228881380675129,1,0.85054924443316,0.0716941947009964,0,1.36363636363636,0.222727272727273,0,0.824733033697322,0.0885167782356905,0,2.37931034482759,0.226330916381013,0,1.20144612453624,0.0627236253022604,0
"13750",8750,1.36875,0.14725094321524,1,0.835484517335639,0.0485296092147578,0,1.32075471698113,0.202943155499255,0,0.783967280487473,0.0878232600507234,0,2.4,0.168,0,1.20874791609019,0.0468960587034982,0
"14000",9000,1.30487804878049,0.170697557560293,1,0.811214575392585,0.0579096860726426,0,1.38888888888889,0.195654015617264,0,0.839565136265671,0.0789165643816204,0,2.31428571428571,0.237975777314069,0,1.16886751999414,0.087737477648738,0
"14250",9250,1.33703703703704,0.186762790686444,1,0.814716560667486,0.060548928981133,0,1.43478260869565,0.241031181065328,0,0.825364063638695,0.101107848911678,0,2.3953488372093,0.186085267281203,0,1.20784437397666,0.0484416537986732,0
